,Samples,Clusters
PRE-CX.111,PRE-CX,Cluster3
PRE-CX.112,PRE-CX,Cluster3
PRE-CX.4,PRE-CX,Cluster3
PRE-CX.5,PRE-CX,Cluster3
PRE-CX.53,PRE-CX,Cluster3
PRE-CX.58,PRE-CX,Cluster3
PRE-CX.62,PRE-CX,Cluster3
PRE-CX.67,PRE-CX,Cluster3
PRE-CX.9,PRE-CX,Cluster3
POST-CX.18,POST-CX,Cluster3
POST-CX.44,POST-CX,Cluster3
POST-CX.48,POST-CX,Cluster2
POST-CX.66,POST-CX,Cluster3
POST-CX.86,POST-CX,Cluster3
POST-CX.91,POST-CX,Cluster2
POST-CX.92,POST-CX,Cluster3
POST-CX.99,POST-CX,Cluster2
CRPC.102,CRPC,Cluster3
CRPC.107,CRPC,Cluster3
CRPC.29,CRPC,Cluster2
CRPC.35,CRPC,Cluster3
CRPC.36,CRPC,Cluster3
CRPC.43,CRPC,Cluster2
CRPC.47,CRPC,Cluster3
CRPC.78,CRPC,Cluster3
CRPC.81,CRPC,Cluster3
CRPC.89,CRPC,Cluster1
ENZS.101,ENZS,Cluster2
ENZS.106,ENZS,Cluster2
ENZS.17,ENZS,Cluster1
ENZS.28,ENZS,Cluster1
ENZS.45,ENZS,Cluster1
ENZS.49,ENZS,Cluster1
ENZS.56,ENZS,Cluster1
ENZS.57,ENZS,Cluster1
ENZS.6,ENZS,Cluster1
ENZS.76,ENZS,Cluster1
ENZS.79,ENZS,Cluster1
ENZS.80,ENZS,Cluster1
ENZR.100,ENZR,Cluster3
ENZR.103,ENZR,Cluster1
ENZR.104,ENZR,Cluster3
ENZR.105,ENZR,Cluster1
ENZR.21,ENZR,Cluster2
ENZR.23,ENZR,Cluster1
ENZR.33,ENZR,Cluster3
ENZR.64,ENZR,Cluster1
ENZR.65,ENZR,Cluster1
ENZR.72,ENZR,Cluster2
ENZR.75,ENZR,Cluster3
ENZR.87,ENZR,Cluster2
ENZR.94,ENZR,Cluster2
ENZR.95,ENZR,Cluster1
ENZR.98,ENZR,Cluster1
